"Story","Title","Result","Date","Stability","Duration (s)"
"Login Page Performance","Verify accessing webapp trough link","SUCCESS","2022-11-13T15:09:12.581+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Performance","Verify functionallity when multiple Browser instances open","SUCCESS","2022-11-13T15:09:12.622+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Performance","Verify critical element visibility when font resized","SUCCESS","2022-11-13T15:09:12.65+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Validate all text is visible with proper writing","SUCCESS","2022-11-13T15:09:12.805+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Validate error messages should be displayed properly and in the correct position","SUCCESS","2022-11-13T15:09:12.87+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Visual Testing","Verify general confirmation messages should be displayed using CSS style either than error message style","SUCCESS","2022-11-13T15:09:12.948+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Visual Testing","Verify tooltips text should be meaningful","SUCCESS","2022-11-13T15:09:12.996+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Verify all placeholder is displayed properly and meaningful","SUCCESS","2022-11-13T15:09:13.056+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Verify all text on page for spelling and grammatical errors","SUCCESS","2022-11-13T15:09:13.282+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Visual Testing","Verify all field on the page should be aligned properly","SUCCESS","2022-11-13T15:09:13.31+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Verify enough space should be provided between title, email field, password field and login button","SUCCESS","2022-11-13T15:09:13.349+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Visual Testing","Verify font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in PRD","SUCCESS","2022-11-13T15:09:13.378+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Visual Testing","Verify upon clicking on the input text field, the mouse arrow pointer should get changed to the cursor","SUCCESS","2022-11-13T15:09:13.41+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Visual Testing","Check all pages for broken images","SUCCESS","2022-11-13T15:09:13.44+07:00[Asia/Bangkok]","0.0","0.06"
"Login Page Visual Testing","Check all pages for broken links","SUCCESS","2022-11-13T15:09:13.519+07:00[Asia/Bangkok]","0.0","0.04"
"Login Page Visual Testing","Verify Page text is justified correctly","SUCCESS","2022-11-13T15:09:13.595+07:00[Asia/Bangkok]","0.0","0.05"
